eye_shoulder_y_ratio,shoulder_y_diff,wrist_distance_x,wrist_shoulder_ratio,nose_eye_center_offset_x,shoulder_span,hip_shoulder_y_diff,body_lean_x,shoulder_center_x,hip_center_x,spine_angle,eye_distance,head_tilt_angle,eye_distance_ratio,shoulder_slope,head_direction,arm_position,posture,confidence_label
-0.5035957992076874,0.0074760317802429,0.5790190100669861,1.265216343307622,0.0051734894514083,0.4576953313117851,0.940374106168747,-0.0131195485591888,0.528733104467392,0.5418526530265808,89.2006947108852,0.1459573127056768,-9.428943412384932,0.3188962235803314,0.0074760317802429,Looking Straight,Partially Open,Upright,Confident
-0.483257532119751,0.0089970827102661,0.569415807723999,1.2529658300577415,0.0059585273265838,0.4545334319404314,0.9560522437095642,-0.0111320912837982,0.530794158577919,0.5419262498617172,89.33288894062272,0.1495092990351138,-8.837169535362356,0.3289291579650135,0.0089970827102661,Looking Straight,Partially Open,Upright,Confident
-0.4998465478420257,0.0073647499084472,0.565544843673706,1.2414248247912425,0.0041568577289581,0.455610615754578,0.9575424790382384,-0.0097512751817703,0.5313809216022491,0.5411321967840195,89.4165401406844,0.1496019937807476,-8.891049592464393,0.328354934252307,0.0073647499084472,Looking Straight,Partially Open,Upright,Confident
-0.5072753131389618,0.0046343803405761,0.5675656497478485,1.2415384763554718,0.0046599358320236,0.4571605389344249,0.9607121348381042,-0.0076057910919189,0.5321670472621918,0.5397728383541107,89.54640874239534,0.1494334785192514,-8.448227016431408,0.3268730911630284,0.0046343803405761,Looking Straight,Partially Open,Upright,Confident
-0.5314308106899261,0.0033603906631469,0.5687834918498993,1.2433520358484529,0.0063258111476898,0.4574620766305052,0.9781537055969238,-0.0061077624559402,0.5323026478290558,0.538410410284996,89.64223980243554,0.1521958889227655,-9.40567886924937,0.3326961877228898,0.0033603906631469,Looking Straight,Partially Open,Upright,Confident
-0.5202562808990479,0.0039515495300292,0.5867267698049545,1.272722117897091,0.0047699213027954,0.4610084077387344,0.9872589707374572,-0.0052520483732223,0.5313561707735062,0.5366082191467285,89.69519915664141,0.1583649313510265,-8.140349383907568,0.3435185317504579,0.0039515495300292,Looking Straight,Partially Open,Upright,Confident
-0.519620731472969,0.0078284740447998,0.590524822473526,1.2513468391964346,0.0051997900009155,0.4719663166328409,0.9891428351402284,-0.0028445422649383,0.5344312936067581,0.5372758358716965,89.83523126149612,0.1580919083389436,-8.549024532544534,0.3349643878546715,0.0078284740447998,Looking Straight,Partially Open,Upright,Confident
-0.52004474401474,0.0047763586044311,0.5891712456941605,1.229542027137305,0.0058113634586334,0.4791932331172738,0.9906482696533204,-0.0070348680019378,0.5340293943881989,0.5410642623901367,89.59313362454908,0.1550655307776424,-9.639622125254473,0.3235970795516075,0.0047763586044311,Looking Straight,Partially Open,Upright,Confident
-0.5338727831840515,0.006007432937622,0.6179322153329849,1.2753016951932217,0.0048027038574218,0.4845653049480027,1.0016831755638125,-0.0101731717586517,0.5364478230476379,0.5466209948062897,89.41811964008552,0.1560685470174616,-6.934082367034846,0.3220794915026136,0.006007432937622,Looking Straight,Partially Open,Upright,Confident
-0.532601535320282,0.0021247267723083,0.6351777762174606,1.2932552455743738,0.0041282773017883,0.491141087213268,1.0077159702777865,-0.0108927339315414,0.5380158126354218,0.5489085465669632,89.38069516163297,0.1615462918424611,-10.23270968470035,0.3289203368406296,0.0021247267723083,Looking Straight,Partially Open,Upright,Confident
